participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.t;player.vote;player.bid;player.ask;player.lama;player.payoff;group.id_in_subsession;group.price;group.q;group.policy;group.costo;group.uniforme;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;xq3rjlbc;;0;432;900;voting;Payment;2022-11-17 23:26:26.101624+00:00;1;;;100;1;;1;0;101.00;101.00;0.00;135;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
2;whzy19xg;;0;432;900;voting;Payment;2022-11-17 23:27:00.605199+00:00;1;;;100;2;;-1;0;50.00;50.00;0.09;65;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
3;pp5ryrl3;;0;432;900;voting;Payment;2022-11-17 23:26:32.245859+00:00;1;;;100;3;;-1;0;18.00;18.00;0.18;65;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
4;p1ovcuud;;0;432;900;voting;Payment;2022-11-17 23:26:32.407916+00:00;1;;;100;4;;1;0;70.00;70.00;0.27;135;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
5;uiulwakc;;0;432;900;voting;Payment;2022-11-17 23:26:33.996455+00:00;1;;;100;5;;-1;0;30.00;30.00;0.36;65;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
6;gwe89j56;;0;432;900;voting;Payment;2022-11-17 23:26:39.314203+00:00;1;;;100;6;;-1;0;50.00;50.00;0.45;65;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
7;smv3c9fs;;0;432;900;voting;Payment;2022-11-17 23:26:50.647593+00:00;1;;;100;7;;-1;0;35.00;35.00;0.55;65;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
8;ykokfs6a;;0;432;900;voting;Payment;2022-11-17 23:26:26.864228+00:00;1;;;100;8;;0;1;65.00;65.00;0.64;100;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
9;ggho8vfl;;0;432;900;voting;Payment;2022-11-17 23:26:30.771899+00:00;1;;;100;9;;1;0;75.00;75.00;0.73;135;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
10;zhcu7gdt;;0;432;900;voting;Payment;2022-11-17 23:26:27.234772+00:00;1;;;100;10;;1;0;110.00;110.00;0.82;135;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
11;4kmeiwhk;;0;432;900;voting;Payment;2022-11-17 23:26:40.601639+00:00;1;;;100;11;;1;0;71.00;71.00;0.91;135;1;65.00;6;0;60;1;1;yyk4j6aq;;;;;0
1;xq3rjlbc;;0;432;900;voting;Payment;2022-11-17 23:26:26.101624+00:00;1;;;100;1;;1;0;95.00;95.00;0.00;142;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
2;whzy19xg;;0;432;900;voting;Payment;2022-11-17 23:27:00.605199+00:00;1;;;100;2;;1;1;70.00;70.00;0.09;142;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
3;pp5ryrl3;;0;432;900;voting;Payment;2022-11-17 23:26:32.245859+00:00;1;;;100;3;;-1;0;50.00;50.00;0.18;58;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
4;p1ovcuud;;0;432;900;voting;Payment;2022-11-17 23:26:32.407916+00:00;1;;;100;4;;-1;0;55.00;55.00;0.27;58;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
5;uiulwakc;;0;432;900;voting;Payment;2022-11-17 23:26:33.996455+00:00;1;;;100;5;;-1;0;50.00;50.00;0.36;58;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
6;gwe89j56;;0;432;900;voting;Payment;2022-11-17 23:26:39.314203+00:00;1;;;100;6;;-1;0;52.00;52.00;0.45;58;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
7;smv3c9fs;;0;432;900;voting;Payment;2022-11-17 23:26:50.647593+00:00;1;;;100;7;;-1;0;45.00;45.00;0.55;58;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
8;ykokfs6a;;0;432;900;voting;Payment;2022-11-17 23:26:26.864228+00:00;1;;;100;8;;1;0;70.00;70.00;0.64;142;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
9;ggho8vfl;;0;432;900;voting;Payment;2022-11-17 23:26:30.771899+00:00;1;;;100;9;;1;1;60.00;60.00;0.73;142;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
10;zhcu7gdt;;0;432;900;voting;Payment;2022-11-17 23:26:27.234772+00:00;1;;;100;10;;0;1;58.00;58.00;0.82;100;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
11;4kmeiwhk;;0;432;900;voting;Payment;2022-11-17 23:26:40.601639+00:00;1;;;100;11;;1;0;70.00;70.00;0.91;142;1;58.00;6;0;60;1;2;yyk4j6aq;;;;;0
1;xq3rjlbc;;0;432;900;voting;Payment;2022-11-17 23:26:26.101624+00:00;1;;;100;1;;1;0;80.00;80.00;0.00;135;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
2;whzy19xg;;0;432;900;voting;Payment;2022-11-17 23:27:00.605199+00:00;1;;;100;2;;-1;0;30.00;30.00;0.09;65;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
3;pp5ryrl3;;0;432;900;voting;Payment;2022-11-17 23:26:32.245859+00:00;1;;;100;3;;-1;0;50.00;50.00;0.18;65;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
4;p1ovcuud;;0;432;900;voting;Payment;2022-11-17 23:26:32.407916+00:00;1;;;100;4;;1;0;75.00;75.00;0.27;135;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
5;uiulwakc;;0;432;900;voting;Payment;2022-11-17 23:26:33.996455+00:00;1;;;100;5;;1;0;70.00;70.00;0.36;135;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
6;gwe89j56;;0;432;900;voting;Payment;2022-11-17 23:26:39.314203+00:00;1;;;100;6;;-1;0;52.00;52.00;0.45;65;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
7;smv3c9fs;;0;432;900;voting;Payment;2022-11-17 23:26:50.647593+00:00;1;;;100;7;;1;1;80.00;80.00;0.55;135;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
8;ykokfs6a;;0;432;900;voting;Payment;2022-11-17 23:26:26.864228+00:00;1;;;100;8;;0;1;65.00;65.00;0.64;100;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
9;ggho8vfl;;0;432;900;voting;Payment;2022-11-17 23:26:30.771899+00:00;1;;;100;9;;-1;0;60.00;60.00;0.73;65;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
10;zhcu7gdt;;0;432;900;voting;Payment;2022-11-17 23:26:27.234772+00:00;1;;;100;10;;1;0;89.00;89.00;0.82;135;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
11;4kmeiwhk;;0;432;900;voting;Payment;2022-11-17 23:26:40.601639+00:00;1;;;100;11;;-1;0;40.00;40.00;0.91;65;1;65.00;6;0;60;1;3;yyk4j6aq;;;;;0
1;xq3rjlbc;;0;432;900;voting;Payment;2022-11-17 23:26:26.101624+00:00;1;;;100;1;;1;0;80.00;80.00;0.00;130;1;70.00;6;0;60;1;4;yyk4j6aq;;;;;0
