"","session.code","subsession.round_number","participant.id_in_session","player.id_in_group","player.t","player.vote","player.bid","player.lama","player.payoff","group.price","group.policy","group.uniforme","group.costo","player.why_accept","player.why_reject","player.other_accept","player.other_reject","player.age","player.gender","player.major","player.political","player.gpa","player.finalassets","player.lama_star","player.vote_cond","marca","total_yes","player.better.yes","player.change_vote","player.better.yes.lag","player.t.lag","player.vote.lag","group.policy.lag","total_yes.lag","player.bid.delta"
"1","49mqxl65",1,1,1,-1,NA,20,1,50,50,0,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA
"2","49mqxl65",2,1,1,1,1,75,1,185,75,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.4,1,1,8,1,NA,1,-1,NA,0,4,55
"3","49mqxl65",3,1,1,1,1,75,1,190,70,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.4,1,1,8,1,0,1,1,1,1,8,0
"4","49mqxl65",4,1,1,1,1,85,1,180,80,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.4,1,1,7,1,0,1,1,1,1,8,10
"5","49mqxl65",5,1,1,-1,NA,80,1,90,90,0,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,2,4,1,NA,1,1,1,1,7,-5
"6","49mqxl65",6,1,1,-1,NA,95,1,95,95,0,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,2,4,1,NA,1,-1,NA,0,4,15
"7","49mqxl65",7,1,1,1,1,100,1,103,97,0,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.4,1,2,5,1,NA,1,-1,NA,0,4,5
"8","49mqxl65",8,1,1,-1,NA,97,1,99,99,0,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,2,3,1,NA,1,1,1,0,5,-3
"9","49mqxl65",10,1,1,1,1,98,1,110,90,0,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.7,1,3,4,1,NA,1,-1,NA,0,3,1
"10","49mqxl65",11,1,1,1,1,98,1,104,96,0,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.7,1,3,3,1,0,1,1,1,0,4,0
"11","49mqxl65",12,1,1,1,1,100,1,131,99,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.7,1,3,7,1,0,1,1,1,0,3,2
"12","49mqxl65",13,1,1,1,1,100,1,101,99,0,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.7,1,4,4,1,0,1,1,1,1,7,0
"13","49mqxl65",14,1,1,1,1,100,1,100,100,0,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.7,1,4,4,1,0,1,1,1,0,4,0
"14","49mqxl65",15,1,1,1,1,100,1,130,100,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.7,1,4,8,1,0,1,1,1,0,4,0
"15","49mqxl65",16,1,1,0,1,100,1,100,100,0,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,1,0.35,1,4,3,1,0,1,1,1,1,8,0
"16","49mqxl65",17,1,1,1,1,120,1,80,100,1,0,60,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,1.2,0,5,6,0,0,1,0,1,0,3,20
"17","49mqxl65",18,1,1,1,0,120,1,110,90,0,0,60,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,1.2,0,5,2,0,-1,0,1,1,1,6,0
"18","49mqxl65",19,1,1,1,0,130,1,105,95,0,0,60,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,1.2,0,5,1,0,0,0,1,0,0,2,10
"19","49mqxl65",20,1,1,0,1,100,1,100,100,0,0,60,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,1,0.6,1,5,3,0,1,0,1,0,0,1,-30
"20","49mqxl65",21,1,1,1,0,110,1,100,100,0,0,60,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,1.2,0,6,2,0,-1,0,0,1,0,3,10
"21","49mqxl65",22,1,1,-1,NA,99,1,105,105,0,0,60,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,6,4,0,NA,0,1,0,0,2,-11
"22","49mqxl65",23,1,1,1,0,115,1,100,100,0,0,60,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,1.2,0,6,0,0,NA,0,-1,NA,0,4,16
"23","49mqxl65",24,1,1,1,0,105,1,95,105,0,0,60,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,1.2,0,6,5,0,0,0,1,0,0,0,-10
"24","49mqxl65",25,1,1,1,0,110,0,53,107,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.4,0,7,6,0,0,0,1,0,0,5,5
"25","49mqxl65",26,1,1,-1,NA,95,0,105,105,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,7,9,0,NA,0,1,0,1,6,-15
"26","49mqxl65",27,1,1,-1,NA,90,0,97,97,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,7,8,0,NA,0,-1,NA,1,9,-5
"27","49mqxl65",28,1,1,-1,NA,95,0,100,100,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,7,8,0,NA,0,-1,NA,1,8,5
"28","49mqxl65",29,1,1,0,0,95,0,80,95,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,1,0.2,0,8,10,0,NA,0,-1,NA,1,8,0
"29","49mqxl65",30,1,1,-1,NA,90,0,93,93,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,8,10,0,NA,0,0,0,1,10,-5
"30","49mqxl65",31,1,1,-1,NA,98,0,100,100,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,8,11,0,NA,0,-1,NA,1,10,8
"31","49mqxl65",32,1,1,0,0,105,0,80,105,1,0,20,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,1,0.2,0,8,8,0,NA,0,-1,NA,1,11,7
"32","49mqxl65",33,1,1,1,0,110,0,30,100,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.7,0,9,9,0,0,0,0,0,1,8,5
"33","49mqxl65",34,1,1,-1,NA,90,0,90,90,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,9,9,0,NA,0,1,0,1,9,-20
"34","49mqxl65",35,1,1,-1,NA,85,0,89,89,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,9,8,0,NA,0,-1,NA,1,9,-5
"35","49mqxl65",36,1,1,1,0,90,0,45,85,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.7,0,9,6,0,NA,0,-1,NA,1,8,5
"36","49mqxl65",37,1,1,-1,NA,75,0,80,80,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,10,9,0,NA,0,1,0,1,6,-15
"37","49mqxl65",38,1,1,1,0,95,0,50,80,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,2,0.7,0,10,9,0,NA,0,-1,NA,1,9,20
"38","49mqxl65",39,1,1,-1,NA,80,0,80,80,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,10,9,0,NA,0,1,0,1,9,-15
"39","49mqxl65",40,1,1,-1,NA,75,0,78,78,1,0,35,"To help other participants "," To increase my own earnings",NA,NA,19,"Woman","Science, technology, engineering and mathematics","Center",3.8,0,NA,NA,10,7,0,NA,0,-1,NA,1,9,-5
