participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.t;player.vote;player.bid;player.ask;player.lama;player.payoff;group.id_in_subsession;group.price;group.q;group.policy;group.costo;group.uniforme;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;n5elzjws;;0;432;900;voting;Payment;2022-09-30 22:28:12.223878+00:00;1;;;100;1;;1;1;65.00;65.00;0.00;88;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
2;66hnzo43;;0;432;900;voting;Payment;2022-09-30 22:29:21.166345+00:00;1;;;100;2;;0;0;42.00;42.00;0.09;74;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
3;9qi5ukkt;;0;432;900;voting;Payment;2022-09-30 22:28:03.562873+00:00;1;;;100;3;;-1;0;5.00;5.00;0.18;60;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
4;t9unb6k0;;0;432;900;voting;Payment;2022-09-30 22:28:06.973891+00:00;1;;;100;4;;-1;0;35.00;35.00;0.27;69;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
5;5kxuscdw;;0;432;900;voting;Payment;2022-09-30 22:29:09.135055+00:00;1;;;100;5;;-1;0;40.00;40.00;0.36;78;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
6;86ufr6nk;;0;432;900;voting;Payment;2022-09-30 22:28:07.404959+00:00;1;;;100;6;;1;0;80.00;80.00;0.45;133;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
7;bbf5cj1z;;0;432;900;voting;Payment;2022-09-30 22:28:35.927371+00:00;1;;;100;7;;-1;0;25.00;25.00;0.55;97;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
8;bx4v6wsm;;0;432;900;voting;Payment;2022-09-30 22:28:05.424451+00:00;1;;;100;8;;-1;0;20.00;20.00;0.64;106;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
9;7dyql1ni;;0;432;900;voting;Payment;2022-09-30 22:28:19.501811+00:00;1;;;100;9;;1;1;43.00;43.00;0.73;161;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
10;jd9dyt2u;;0;432;900;voting;Payment;2022-09-30 22:31:33.880465+00:00;1;;;100;10;;1;0;85.00;85.00;0.82;170;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
11;3n7fdqxx;;0;432;900;voting;Payment;2022-09-30 22:28:11.294031+00:00;1;;;100;11;;1;1;50.00;50.00;0.91;179;1;42.00;6;1;35;1;1;7o4740qq;;;;;0
1;n5elzjws;;0;432;900;voting;Payment;2022-09-30 22:28:12.223878+00:00;1;;;100;1;;1;0;60.00;60.00;0.00;150;1;50.00;6;0;35;1;2;7o4740qq;;;;;0
2;66hnzo43;;0;432;900;voting;Payment;2022-09-30 22:29:21.166345+00:00;1;;;100;2;;1;0;65.00;65.00;0.09;150;1;50.00;6;0;35;1;2;7o4740qq;;;;;0
3;9qi5ukkt;;0;432;900;voting;Payment;2022-09-30 22:28:03.562873+00:00;1;;;100;3;;-1;0;20.00;20.00;0.18;50;1;50.00;6;0;35;1;2;7o4740qq;;;;;0
4;t9unb6k0;;0;432;900;voting;Payment;2022-09-30 22:28:06.973891+00:00;1;;;100;4;;-1;0;35.00;35.00;0.27;50;1;50.00;6;0;35;1;2;7o4740qq;;;;;0
5;5kxuscdw;;0;432;900;voting;Payment;2022-09-30 22:29:09.135055+00:00;1;;;100;5;;-1;0;40.00;40.00;0.36;50;1;50.00;6;0;35;1;2;7o4740qq;;;;;0
6;86ufr6nk;;0;432;900;voting;Payment;2022-09-30 22:28:07.404959+00:00;1;;;100;6;;1;0;80.00;80.00;0.45;150;1;50.00;6;0;35;1;2;7o4740qq;;;;;0
7;bbf5cj1z;;0;432;900;voting;Payment;2022-09-30 22:28:35.927371+00:00;1;;;100;7;;-1;0;45.00;45.00;0.55;50;1;50.00;6;0;35;1;2;7o4740qq;;;;;0
8;bx4v6wsm;;0;432;900;voting;Payment;2022-09-30 22:28:05.424451+00:00;1;;;100;8;;1;0;50.00;50.00;0.64;150;1;50.00;6;0;35;1;2;7o4740qq;;;;;0
9;7dyql1ni;;0;432;900;voting;Payment;2022-09-30 22:28:19.501811+00:00;1;;;100;9;;1;1;56.00;56.00;0.73;150;1;50.00;6;0;35;1;2;7o4740qq;;;;;0
