participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.t,player.vote,player.bid,player.ask,player.lama,player.payoff,group.id_in_subsession,group.price,group.q,group.policy,group.costo,group.uniforme,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,4o0tvumf,,0,432,900,voting,Payment,2022-09-23 22:29:57.671938+00:00,1,,,160,1,,-1,0,45.00,45.00,1.00,150,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
2,nc4y87kv,,0,432,900,voting,Payment,2022-09-23 22:29:54.072795+00:00,1,,,160,2,,1,1,170.00,170.00,1.00,180,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
3,vealmon0,,0,432,900,voting,Payment,2022-09-23 22:30:07.968582+00:00,1,,,180,3,,0,1,50.00,50.00,1.00,165,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
4,6mqkdobr,,0,432,900,voting,Payment,2022-09-23 22:29:56.406039+00:00,1,,,180,4,,-1,0,10.00,10.00,1.00,150,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
5,92d9kg8s,,0,432,900,voting,Payment,2022-09-23 22:30:10.379398+00:00,1,,,160,5,,-1,0,40.00,40.00,1.00,150,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
6,wxlco55f,,0,432,900,voting,Payment,2022-09-23 22:30:00.018320+00:00,1,,,100,6,,1,1,100.00,100.00,0.00,80,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
7,jk7qg65d,,0,432,900,voting,Payment,2022-09-23 22:29:57.833895+00:00,1,,,80,7,,1,1,80.00,80.00,0.00,80,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
8,u3ujc2kg,,0,432,900,voting,Payment,2022-09-23 22:29:56.161920+00:00,1,,,60,8,,1,0,50.00,50.00,0.00,80,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
9,8odtn6tc,,0,432,900,voting,Payment,2022-09-23 22:30:00.462192+00:00,1,,,100,9,,1,0,70.00,70.00,0.00,80,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
10,7q6uz0to,,0,432,900,voting,Payment,2022-09-23 22:29:56.636912+00:00,1,,,100,10,,-1,0,25.00,25.00,0.00,50,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
11,knjaj9v0,,0,432,900,voting,Payment,2022-09-23 22:29:54.800855+00:00,1,,,100,11,,-1,0,2.00,2.00,0.00,50,1,50.00,6,1,35,0,1,ozs8pu3i,,,,,0
1,4o0tvumf,,0,432,900,voting,Payment,2022-09-23 22:29:57.671938+00:00,1,,,160,1,,1,1,60.00,60.00,1.00,170,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
2,nc4y87kv,,0,432,900,voting,Payment,2022-09-23 22:29:54.072795+00:00,1,,,160,2,,1,1,70.00,70.00,1.00,170,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
3,vealmon0,,0,432,900,voting,Payment,2022-09-23 22:30:07.968582+00:00,1,,,180,3,,-1,0,50.00,50.00,1.00,160,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
4,6mqkdobr,,0,432,900,voting,Payment,2022-09-23 22:29:56.406039+00:00,1,,,180,4,,-1,0,40.00,40.00,1.00,160,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
5,92d9kg8s,,0,432,900,voting,Payment,2022-09-23 22:30:10.379398+00:00,1,,,160,5,,0,1,60.00,60.00,1.00,165,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
6,wxlco55f,,0,432,900,voting,Payment,2022-09-23 22:30:00.018320+00:00,1,,,100,6,,1,0,70.00,70.00,0.00,70,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
7,jk7qg65d,,0,432,900,voting,Payment,2022-09-23 22:29:57.833895+00:00,1,,,80,7,,1,1,70.00,70.00,0.00,70,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
8,u3ujc2kg,,0,432,900,voting,Payment,2022-09-23 22:29:56.161920+00:00,1,,,60,8,,-1,0,50.00,50.00,0.00,60,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
9,8odtn6tc,,0,432,900,voting,Payment,2022-09-23 22:30:00.462192+00:00,1,,,100,9,,-1,0,45.00,45.00,0.00,60,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
10,7q6uz0to,,0,432,900,voting,Payment,2022-09-23 22:29:56.636912+00:00,1,,,100,10,,1,0,60.00,60.00,0.00,70,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
11,knjaj9v0,,0,432,900,voting,Payment,2022-09-23 22:29:54.800855+00:00,1,,,100,11,,-1,0,50.00,50.00,0.00,60,1,60.00,6,1,35,0,2,ozs8pu3i,,,,,0
1,4o0tvumf,,0,432,900,voting,Payment,2022-09-23 22:29:57.671938+00:00,1,,,160,1,,1,1,70.00,70.00,1.00,170,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
2,nc4y87kv,,0,432,900,voting,Payment,2022-09-23 22:29:54.072795+00:00,1,,,160,2,,1,1,80.00,80.00,1.00,170,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
3,vealmon0,,0,432,900,voting,Payment,2022-09-23 22:30:07.968582+00:00,1,,,180,3,,-1,0,50.00,50.00,1.00,160,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
4,6mqkdobr,,0,432,900,voting,Payment,2022-09-23 22:29:56.406039+00:00,1,,,180,4,,-1,0,50.00,50.00,1.00,160,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
5,92d9kg8s,,0,432,900,voting,Payment,2022-09-23 22:30:10.379398+00:00,1,,,160,5,,1,1,70.00,70.00,1.00,170,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
6,wxlco55f,,0,432,900,voting,Payment,2022-09-23 22:30:00.018320+00:00,1,,,100,6,,1,0,70.00,70.00,0.00,70,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
7,jk7qg65d,,0,432,900,voting,Payment,2022-09-23 22:29:57.833895+00:00,1,,,80,7,,1,1,80.00,80.00,0.00,70,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
8,u3ujc2kg,,0,432,900,voting,Payment,2022-09-23 22:29:56.161920+00:00,1,,,60,8,,-1,0,60.00,60.00,0.00,60,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
9,8odtn6tc,,0,432,900,voting,Payment,2022-09-23 22:30:00.462192+00:00,1,,,100,9,,-1,0,50.00,50.00,0.00,60,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
10,7q6uz0to,,0,432,900,voting,Payment,2022-09-23 22:29:56.636912+00:00,1,,,100,10,,0,1,60.00,60.00,0.00,65,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
11,knjaj9v0,,0,432,900,voting,Payment,2022-09-23 22:29:54.800855+00:00,1,,,100,11,,-1,0,60.00,60.00,0.00,60,1,60.00,6,1,35,0,3,ozs8pu3i,,,,,0
1,4o0tvumf,,0,432,900,voting,Payment,2022-09-23 22:29:57.671938+00:00,1,,,160,1,,0,1,65.00,65.00,1.00,100,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
2,nc4y87kv,,0,432,900,voting,Payment,2022-09-23 22:29:54.072795+00:00,1,,,160,2,,1,1,85.00,85.00,1.00,135,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
3,vealmon0,,0,432,900,voting,Payment,2022-09-23 22:30:07.968582+00:00,1,,,180,3,,-1,0,50.00,50.00,1.00,65,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
4,6mqkdobr,,0,432,900,voting,Payment,2022-09-23 22:29:56.406039+00:00,1,,,180,4,,-1,0,10.00,10.00,1.00,65,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
5,92d9kg8s,,0,432,900,voting,Payment,2022-09-23 22:30:10.379398+00:00,1,,,160,5,,-1,0,60.00,60.00,1.00,65,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
6,wxlco55f,,0,432,900,voting,Payment,2022-09-23 22:30:00.018320+00:00,1,,,100,6,,1,0,70.00,70.00,0.00,135,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
7,jk7qg65d,,0,432,900,voting,Payment,2022-09-23 22:29:57.833895+00:00,1,,,80,7,,1,1,80.00,80.00,0.00,135,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
8,u3ujc2kg,,0,432,900,voting,Payment,2022-09-23 22:29:56.161920+00:00,1,,,60,8,,1,0,65.00,65.00,0.00,135,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
9,8odtn6tc,,0,432,900,voting,Payment,2022-09-23 22:30:00.462192+00:00,1,,,100,9,,1,0,70.00,70.00,0.00,135,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
10,7q6uz0to,,0,432,900,voting,Payment,2022-09-23 22:29:56.636912+00:00,1,,,100,10,,-1,0,50.00,50.00,0.00,65,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
11,knjaj9v0,,0,432,900,voting,Payment,2022-09-23 22:29:54.800855+00:00,1,,,100,11,,-1,0,55.00,55.00,0.00,65,1,65.00,6,0,35,0,4,ozs8pu3i,,,,,0
1,4o0tvumf,,0,432,900,voting,Payment,2022-09-23 22:29:57.671938+00:00,1,,,160,1,,1,1,75.00,75.00,1.00,160,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
2,nc4y87kv,,0,432,900,voting,Payment,2022-09-23 22:29:54.072795+00:00,1,,,160,2,,1,1,70.00,70.00,1.00,160,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
3,vealmon0,,0,432,900,voting,Payment,2022-09-23 22:30:07.968582+00:00,1,,,180,3,,-1,0,50.00,50.00,1.00,170,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
4,6mqkdobr,,0,432,900,voting,Payment,2022-09-23 22:29:56.406039+00:00,1,,,180,4,,-1,0,60.00,60.00,1.00,170,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
5,92d9kg8s,,0,432,900,voting,Payment,2022-09-23 22:30:10.379398+00:00,1,,,160,5,,1,1,75.00,75.00,1.00,160,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
6,wxlco55f,,0,432,900,voting,Payment,2022-09-23 22:30:00.018320+00:00,1,,,100,6,,1,0,70.00,70.00,0.00,60,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
7,jk7qg65d,,0,432,900,voting,Payment,2022-09-23 22:29:57.833895+00:00,1,,,80,7,,1,0,80.00,80.00,0.00,60,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
8,u3ujc2kg,,0,432,900,voting,Payment,2022-09-23 22:29:56.161920+00:00,1,,,60,8,,-1,0,65.00,65.00,0.00,70,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
9,8odtn6tc,,0,432,900,voting,Payment,2022-09-23 22:30:00.462192+00:00,1,,,100,9,,-1,0,65.00,65.00,0.00,70,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
10,7q6uz0to,,0,432,900,voting,Payment,2022-09-23 22:29:56.636912+00:00,1,,,100,10,,0,1,70.00,70.00,0.00,65,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
11,knjaj9v0,,0,432,900,voting,Payment,2022-09-23 22:29:54.800855+00:00,1,,,100,11,,-1,0,65.00,65.00,0.00,70,1,70.00,6,1,35,0,5,ozs8pu3i,,,,,0
1,4o0tvumf,,0,432,900,voting,Payment,2022-09-23 22:29:57.671938+00:00,1,,,160,1,,1,1,75.00,75.00,1.00,157,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
2,nc4y87kv,,0,432,900,voting,Payment,2022-09-23 22:29:54.072795+00:00,1,,,160,2,,0,1,73.00,73.00,1.00,165,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
3,vealmon0,,0,432,900,voting,Payment,2022-09-23 22:30:07.968582+00:00,1,,,180,3,,-1,0,70.00,70.00,1.00,173,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
4,6mqkdobr,,0,432,900,voting,Payment,2022-09-23 22:29:56.406039+00:00,1,,,180,4,,1,1,100.00,100.00,1.00,157,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
5,92d9kg8s,,0,432,900,voting,Payment,2022-09-23 22:30:10.379398+00:00,1,,,160,5,,1,1,75.00,75.00,1.00,157,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
6,wxlco55f,,0,432,900,voting,Payment,2022-09-23 22:30:00.018320+00:00,1,,,100,6,,-1,0,70.00,70.00,0.00,73,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
7,jk7qg65d,,0,432,900,voting,Payment,2022-09-23 22:29:57.833895+00:00,1,,,80,7,,1,1,80.00,80.00,0.00,57,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
8,u3ujc2kg,,0,432,900,voting,Payment,2022-09-23 22:29:56.161920+00:00,1,,,60,8,,-1,0,70.00,70.00,0.00,73,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
9,8odtn6tc,,0,432,900,voting,Payment,2022-09-23 22:30:00.462192+00:00,1,,,100,9,,-1,0,65.00,65.00,0.00,73,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
10,7q6uz0to,,0,432,900,voting,Payment,2022-09-23 22:29:56.636912+00:00,1,,,100,10,,1,0,75.00,75.00,0.00,57,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
11,knjaj9v0,,0,432,900,voting,Payment,2022-09-23 22:29:54.800855+00:00,1,,,100,11,,-1,0,70.00,70.00,0.00,73,1,73.00,6,1,35,0,6,ozs8pu3i,,,,,0
1,4o0tvumf,,0,432,900,voting,Payment,2022-09-23 22:29:57.671938+00:00,1,,,160,1,,1,1,77.00,77.00,1.00,125,1,75.00,6,0,35,0,7,ozs8pu3i,,,,,0
2,nc4y87kv,,0,432,900,voting,Payment,2022-09-23 22:29:54.072795+00:00,1,,,160,2,,1,1,77.00,77.00,1.00,125,1,75.00,6,0,35,0,7,ozs8pu3i,,,,,0
3,vealmon0,,0,432,900,voting,Payment,2022-09-23 22:30:07.968582+00:00,1,,,180,3,,-1,0,70.00,70.00,1.00,75,1,75.00,6,0,35,0,7,ozs8pu3i,,,,,0
