participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.t;player.vote;player.bid;player.ask;player.lama;player.payoff;group.id_in_subsession;group.price;group.q;group.policy;group.costo;group.uniforme;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;kqyzbmuz;;0;432;900;voting;Payment;2022-10-07 22:29:07.345612+00:00;1;;;152;1;;-1;0;40.00;40.00;0.00;70;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
2;2e2vpkss;;0;432;900;voting;Payment;2022-10-07 22:29:04.920525+00:00;1;;;143;2;;0;0;70.00;70.00;0.09;89;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
3;fn4lnz7s;;0;432;900;voting;Payment;2022-10-07 22:29:10.157467+00:00;1;;;134;3;;1;0;87.00;87.00;0.18;108;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
4;qtdmf9li;;0;432;900;voting;Payment;2022-10-07 22:29:15.749455+00:00;1;;;163;4;;-1;0;20.00;20.00;0.27;97;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
5;30bik5t5;;0;432;900;voting;Payment;2022-10-07 22:29:09.747351+00:00;1;;;154;5;;-1;0;25.00;25.00;0.36;106;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
6;kjxsrqxf;;0;432;900;voting;Payment;2022-10-07 22:29:06.315268+00:00;1;;;126;6;;1;1;120.00;120.00;0.45;135;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
7;slphpor6;;0;432;900;voting;Payment;2022-10-07 22:29:17.172767+00:00;1;;;97;7;;1;1;180.00;180.00;0.55;145;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
8;8wbd5ssp;;0;432;900;voting;Payment;2022-10-07 22:29:08.185127+00:00;1;;;125;8;;-1;0;45.00;45.00;0.64;134;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
9;iy2weoc5;;0;432;900;voting;Payment;2022-10-07 22:29:09.182905+00:00;1;;;79;9;;1;1;170.00;170.00;0.73;163;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
10;iy5cvbnb;;0;432;900;voting;Payment;2022-10-07 22:29:10.890331+00:00;1;;;108;10;;1;1;80.00;80.00;0.82;172;1;70.00;6;1;20;1;1;t6bc5acg;;;;;0
