participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.why_accept;player.other_accept;player.why_reject;player.other_reject;player.age;player.gender;player.major;player.political;player.gpa;player.payoff;group.id_in_subsession;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;m10cr2fd;;0;2;1;exitq;Survey;2022-10-19 23:22:28.371153+00:00;1;;;0;1;; To increase my own earnings;; To increase my own earnings;;20;Woman;Social sciences;Left;3.8;0;1;1;js9yqve4;;;;;0
2;28x06no5;;0;2;1;exitq;Survey;2022-10-19 23:23:47.776682+00:00;1;;;0;2;; To increase my own earnings;; To increase my own earnings;;21;Woman;Social sciences;Left;3.1;0;1;1;js9yqve4;;;;;0
3;mbh8d936;;0;2;1;exitq;Survey;2022-10-19 23:22:24.881895+00:00;1;;;0;3;; To increase my own earnings;; To increase my own earnings;;19;Man;Social sciences;Left;3.9;0;1;1;js9yqve4;;;;;0
4;9yeu5h58;;0;2;1;exitq;Survey;2022-10-19 23:23:43.474345+00:00;1;;;0;4;; To increase my own earnings;; To increase my own earnings;;21;Woman;Science, technology, engineering and mathematics;Left;3.5;0;1;1;js9yqve4;;;;;0
5;tmofaw2m;;0;2;1;exitq;Survey;2022-10-19 23:22:55.298127+00:00;1;;;0;5;; To increase my own earnings;;To ensure fair payoffs;;18;Woman;Social sciences;Left;0.0;0;1;1;js9yqve4;;;;;0
6;07i09y3o;;0;2;1;exitq;Survey;2022-10-19 23:22:43.159460+00:00;1;;;0;6;;To ensure fair payoffs;; To increase my own earnings;;18;Woman;Social sciences;Left;3.8;0;1;1;js9yqve4;;;;;0
7;q01nlofw;;0;2;1;exitq;Survey;2022-10-19 23:23:41.833988+00:00;1;;;0;7;; To increase my own earnings;; To increase my own earnings;;18;Woman;Social sciences;Left;4.0;0;1;1;js9yqve4;;;;;0
8;1ee2qape;;0;2;1;exitq;Survey;2022-10-19 23:22:59.763981+00:00;1;;;0;8;; To increase my own earnings;; To increase my own earnings;;19;Woman;Social sciences;Right;3.0;0;1;1;js9yqve4;;;;;0
9;350ytjyc;;0;2;1;exitq;Survey;2022-10-19 23:23:07.505534+00:00;1;;;0;9;; To increase my own earnings;; To increase my own earnings;;21;Man;Social sciences;Center;3.7;0;1;1;js9yqve4;;;;;0
10;yhx19pc0;;0;2;1;exitq;Survey;2022-10-19 23:23:36.757149+00:00;1;;;0;10;;To ensure fair payoffs;;To ensure fair payoffs;;20;Woman;Social sciences;Center;3.6;0;1;1;js9yqve4;;;;;0
11;obm5v3il;;0;2;1;exitq;Survey;2022-10-19 23:22:23.309910+00:00;1;;;0;11;; To increase my own earnings;; To increase my own earnings;;19;Woman;Social sciences;Left;3.9;0;1;1;js9yqve4;;;;;0
