participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.t;player.vote;player.bid;player.ask;player.lama;player.payoff;group.id_in_subsession;group.price;group.q;group.policy;group.costo;group.uniforme;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;6a5bs16g;;0;432;900;voting;Payment;2022-10-12 22:23:46.120288+00:00;1;;;110;1;;1;1;100.00;100.00;0.00;80;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
2;46cnxig2;;0;432;900;voting;Payment;2022-10-12 22:25:06.343823+00:00;1;;;100;2;;-1;0;60.00;60.00;0.09;89;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
3;8nzw295h;;0;432;900;voting;Payment;2022-10-12 22:24:05.841182+00:00;1;;;110;3;;1;0;101.00;101.00;0.18;98;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
4;clqqe8l1;;0;432;900;voting;Payment;2022-10-12 22:24:17.494955+00:00;1;;;110;4;;-1;0;21.00;21.00;0.27;107;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
5;aqzezeav;;0;432;900;voting;Payment;2022-10-12 22:23:52.506400+00:00;1;;;90;5;;1;0;200.00;200.00;0.36;116;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
6;qgq9xzzn;;0;432;900;voting;Payment;2022-10-12 22:24:23.450826+00:00;1;;;90;6;;1;1;110.00;110.00;0.45;125;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
7;p2m2ltle;;0;432;900;voting;Payment;2022-10-12 22:23:52.259742+00:00;1;;;90;7;;1;1;100.00;100.00;0.55;135;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
8;02hbl2qh;;0;432;900;voting;Payment;2022-10-12 22:24:27.201923+00:00;1;;;110;8;;-1;0;50.00;50.00;0.64;144;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
9;tyya4f0m;;0;432;900;voting;Payment;2022-10-12 22:24:34.851998+00:00;1;;;90;9;;-1;0;50.00;50.00;0.73;153;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
10;we87nso8;;0;432;900;voting;Payment;2022-10-12 22:23:51.845196+00:00;1;;;90;10;;-1;0;20.00;20.00;0.82;162;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
11;ptqj9anv;;0;432;900;voting;Payment;2022-10-12 22:24:26.971750+00:00;1;;;110;11;;0;1;80.00;80.00;0.91;171;1;80.00;6;1;20;1;1;6ycc13wq;;;;;0
1;6a5bs16g;;0;432;900;voting;Payment;2022-10-12 22:23:46.120288+00:00;1;;;110;1;;-1;0;50.00;50.00;0.00;90;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
2;46cnxig2;;0;432;900;voting;Payment;2022-10-12 22:25:06.343823+00:00;1;;;100;2;;0;0;90.00;90.00;0.09;89;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
3;8nzw295h;;0;432;900;voting;Payment;2022-10-12 22:24:05.841182+00:00;1;;;110;3;;1;0;95.00;95.00;0.18;88;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
4;clqqe8l1;;0;432;900;voting;Payment;2022-10-12 22:24:17.494955+00:00;1;;;110;4;;-1;0;85.00;85.00;0.27;117;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
5;aqzezeav;;0;432;900;voting;Payment;2022-10-12 22:23:52.506400+00:00;1;;;90;5;;1;0;150.00;150.00;0.36;106;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
6;qgq9xzzn;;0;432;900;voting;Payment;2022-10-12 22:24:23.450826+00:00;1;;;90;6;;1;1;100.00;100.00;0.45;115;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
7;p2m2ltle;;0;432;900;voting;Payment;2022-10-12 22:23:52.259742+00:00;1;;;90;7;;1;1;100.00;100.00;0.55;125;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
8;02hbl2qh;;0;432;900;voting;Payment;2022-10-12 22:24:27.201923+00:00;1;;;110;8;;-1;0;70.00;70.00;0.64;154;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
9;tyya4f0m;;0;432;900;voting;Payment;2022-10-12 22:24:34.851998+00:00;1;;;90;9;;-1;0;68.00;68.00;0.73;163;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
10;we87nso8;;0;432;900;voting;Payment;2022-10-12 22:23:51.845196+00:00;1;;;90;10;;1;1;100.00;100.00;0.82;152;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
11;ptqj9anv;;0;432;900;voting;Payment;2022-10-12 22:24:26.971750+00:00;1;;;110;11;;-1;0;85.00;85.00;0.91;181;1;90.00;6;1;20;1;2;6ycc13wq;;;;;0
1;6a5bs16g;;0;432;900;voting;Payment;2022-10-12 22:23:46.120288+00:00;1;;;110;1;;-1;0;80.00;80.00;0.00;92;1;92.00;6;1;20;1;3;6ycc13wq;;;;;0
2;46cnxig2;;0;432;900;voting;Payment;2022-10-12 22:25:06.343823+00:00;1;;;100;2;;1;0;100.00;100.00;0.09;77;1;92.00;6;1;20;1;3;6ycc13wq;;;;;0
3;8nzw295h;;0;432;900;voting;Payment;2022-10-12 22:24:05.841182+00:00;1;;;110;3;;0;0;92.00;92.00;0.18;98;1;92.00;6;1;20;1;3;6ycc13wq;;;;;0
