participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.why_accept;player.other_accept;player.why_reject;player.other_reject;player.age;player.gender;player.major;player.political;player.gpa;player.payoff;group.id_in_subsession;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;1iaz49ah;;0;2;1;exitq;Survey;2022-10-12 23:53:32.817662+00:00;1;;;0;1;; To increase my own earnings;; To increase my own earnings;;24;Woman;Not a student;Left;4.0;0;1;1;w765mr2p;;;;;0
2;vio97dtw;;0;2;1;exitq;Survey;2022-10-12 23:54:06.697169+00:00;1;;;0;2;; To increase my own earnings;; To increase my own earnings;;20;Woman;Social sciences;Left;3.8;0;1;1;w765mr2p;;;;;0
3;yxx10srq;;0;2;1;exitq;Survey;2022-10-12 23:54:36.566190+00:00;1;;;0;3;; To increase my own earnings;If I make more money by accepting, I will accept.; To increase my own earnings;I will reject if the proposal makes me lose money.;19;Woman;Science, technology, engineering and mathematics;Center;4.0;0;1;1;w765mr2p;;;;;0
4;x73e9gk8;;0;2;1;exitq;Survey;2022-10-12 23:53:56.109403+00:00;1;;;0;4;;To ensure fair payoffs;;To ensure fair payoffs;;21;Man;Social sciences;Left;2.8;0;1;1;w765mr2p;;;;;0
5;yrmwe3v0;;0;2;1;exitq;Survey;2022-10-12 23:53:39.126327+00:00;1;;;0;5;;To ensure fair payoffs;;To ensure fair payoffs;;19;Man;Science, technology, engineering and mathematics;Center;3.9;0;1;1;w765mr2p;;;;;0
6;urd7c69k;;0;2;1;exitq;Survey;2022-10-12 23:53:33.215390+00:00;1;;;0;6;; To increase my own earnings;;To help other participants ;;20;Woman;Social sciences;Left;0.0;0;1;1;w765mr2p;;;;;0
7;u84o3hqt;;0;2;1;exitq;Survey;2022-10-12 23:53:28.198544+00:00;1;;;0;7;; To increase my own earnings;; To increase my own earnings;;19;Woman;Social sciences;Center;3.0;0;1;1;w765mr2p;;;;;0
8;0ssirzjs;;0;2;1;exitq;Survey;2022-10-12 23:54:02.667762+00:00;1;;;0;8;; To increase my own earnings;; To increase my own earnings;I also felt everyone was doing the same so I chose the majority vote to save my earnings;19;Woman;Social sciences;Center;2.4;0;1;1;w765mr2p;;;;;0
9;uvs03v4k;;0;2;1;exitq;Survey;2022-10-12 23:54:43.895580+00:00;1;;;0;9;; To increase my own earnings;;To help other participants ;;20;Woman;Social sciences;Left;0.0;0;1;1;w765mr2p;;;;;0
10;rkb13s2n;;0;2;1;exitq;Survey;2022-10-12 23:53:38.369313+00:00;1;;;0;10;; To increase my own earnings;; To increase my own earnings;;19;Woman;Social sciences;Left;4.0;0;1;1;w765mr2p;;;;;0
11;tydy4l3p;;0;2;1;exitq;Survey;2022-10-12 23:54:15.295896+00:00;1;;;0;11;; To increase my own earnings;; To increase my own earnings;;18;Woman;Business, Finance;Left;3.0;0;1;1;w765mr2p;;;;;0
